,Alabama,,,,Alaska,,,,Arizona,,,,Arkansas,,,,California,,,,Colorado,,,,Connecticut,,,,Delaware,,,,District of Columbia,,,,Florida,,,,Georgia,,,,Hawaii,,,,Idaho,,,,Illinois,,,,Indiana,,,,Iowa,,,,Kansas,,,,Kentucky,,,,Louisiana,,,,Maine,,,,Maryland,,,,Massachusetts,,,,Michigan,,,,Minnesota,,,,Mississippi,,,,Missouri,,,,Montana,,,,Nebraska,,,,Nevada,,,,New Hampshire,,,,New Jersey,,,,New Mexico,,,,New York,,,,North Carolina,,,,North Dakota,,,,Ohio,,,,Oklahoma,,,,Oregon,,,,Pennsylvania,,,,Rhode Island,,,,South Carolina,,,,South Dakota,,,,Tennessee,,,,Texas,,,,Utah,,,,Vermont,,,,Virginia,,,,Washington,,,,West Virginia,,,,Wisconsin,,,,Wyoming,,,,Puerto Rico,,,
Puerto Rican,"22,045","±3,385",0.4%,±0.1,"6,537","±2,249",0.9%,±0.3,"48,793","±7,086",0.7%,±0.1,"7,797","±2,260",0.3%,±0.1,"226,314","±12,871",0.6%,±0.1,"42,525","±5,354",0.7%,±0.1,"302,027","±9,991",8.5%,±0.3,"27,296","±4,212",2.8%,±0.4,"8,558","±2,837",1.2%,±0.4,"1,190,891","±30,103",5.5%,±0.1,"108,719","±10,619",1.0%,±0.1,"49,379","±5,400",3.5%,±0.4,"3,993","±1,871",0.2%,±0.1,"207,109","±12,557",1.6%,±0.1,"49,646","±7,378",0.7%,±0.1,"7,738","±2,046",0.2%,±0.1,"13,329","±2,885",0.5%,±0.1,"12,580","±2,869",0.3%,±0.1,"14,822","±3,571",0.3%,±0.1,"6,698","±1,612",0.5%,±0.1,"56,888","±6,383",0.9%,±0.1,"340,893","±12,349",4.9%,±0.2,"52,357","±5,999",0.5%,±0.1,"16,994","±3,932",0.3%,±0.1,"9,789","±2,432",0.3%,±0.1,"19,686","±3,474",0.3%,±0.1,"1,940",±757,0.2%,±0.1,"8,115","±3,425",0.4%,±0.2,"30,968","±4,432",1.0%,±0.1,"19,249","±3,218",1.4%,±0.2,"455,615","±15,155",5.1%,±0.2,"8,907","±2,372",0.4%,±0.1,"1,096,823","±25,460",5.6%,±0.1,"110,028","±9,247",1.0%,±0.1,"3,526","±1,447",0.5%,±0.2,"130,700","±7,467",1.1%,±0.1,"16,789","±2,410",0.4%,±0.1,"12,467","±2,680",0.3%,±0.1,"493,255","±18,540",3.9%,±0.1,"51,904","±7,404",4.9%,±0.7,"34,021","±5,914",0.7%,±0.1,"2,369","±1,181",0.3%,±0.1,"28,116","±4,442",0.4%,±0.1,"239,157","±15,281",0.8%,±0.1,"8,735","±2,282",0.3%,±0.1,"2,373",±754,0.4%,±0.1,"106,781","±8,236",1.3%,±0.1,"39,877","±4,467",0.5%,±0.1,"6,985","±2,075",0.4%,±0.1,"64,506","±7,352",1.1%,±0.1,"2,097","±1,276",0.4%,±0.2,"3,038,919","±8,405",95.2%,±0.3
Cuban,"6,682","±1,872",0.1%,±0.1,"1,610","±1,222",0.2%,±0.2,"18,147","±4,405",0.2%,±0.1,"1,339",±819,0.0%,±0.1,"92,451","±7,682",0.2%,±0.1,"12,823","±3,070",0.2%,±0.1,"15,280","±3,774",0.4%,±0.1,579,±326,0.1%,±0.1,"1,772",±693,0.3%,±0.1,"1,589,455","±33,557",7.4%,±0.2,"37,768","±6,675",0.4%,±0.1,956,±500,0.1%,±0.1,367,±344,0.0%,±0.1,"22,518","±3,332",0.2%,±0.1,"7,622","±2,635",0.1%,±0.1,"2,862","±1,352",0.1%,±0.1,"5,278","±1,685",0.2%,±0.1,"21,013","±3,467",0.5%,±0.1,"17,373","±4,481",0.4%,±0.1,"1,426",±670,0.1%,±0.1,"14,354","±3,288",0.2%,±0.1,"19,030","±4,013",0.3%,±0.1,"14,433","±2,965",0.1%,±0.1,"5,727","±1,773",0.1%,±0.1,"6,291","±2,858",0.2%,±0.1,"9,329","±2,768",0.2%,±0.1,"1,054",±826,0.1%,±0.1,"7,232","±2,363",0.4%,±0.1,"36,041","±6,403",1.2%,±0.2,"2,190",±904,0.2%,±0.1,"88,671","±7,312",1.0%,±0.1,"7,317","±2,574",0.3%,±0.1,"69,996","±6,620",0.4%,±0.1,"25,098","±4,117",0.2%,±0.1,53,±64,0.0%,±0.1,"11,572","±2,494",0.1%,±0.1,"2,185",±810,0.1%,±0.1,"4,962","±1,419",0.1%,±0.1,"22,550","±3,639",0.2%,±0.1,"2,562","±1,458",0.2%,±0.1,"10,726","±2,802",0.2%,±0.1,258,±306,0.0%,±0.1,"13,521","±3,801",0.2%,±0.1,"105,546","±11,145",0.4%,±0.1,"2,737","±1,161",0.1%,±0.1,686,±457,0.1%,±0.1,"22,096","±4,199",0.3%,±0.1,"11,645","±2,890",0.2%,±0.1,867,±493,0.0%,±0.1,"5,412","±1,481",0.1%,±0.1,103,±156,0.0%,±0.1,"11,753","±2,713",0.4%,±0.1
Other Hispanic or Latino,"66,240","±6,882",1.4%,±0.1,"15,911","±3,295",2.2%,±0.5,"218,882","±17,065",3.0%,±0.2,"54,294","±7,520",1.8%,±0.2,"2,380,462","±47,999",6.0%,±0.1,"281,327","±14,185",4.9%,±0.2,"221,416","±10,957",6.2%,±0.3,"27,954","±4,711",2.9%,±0.5,"59,924","±3,334",8.5%,±0.5,"2,140,290","±43,978",10.0%,±0.2,"318,161","±17,844",3.0%,±0.2,"49,836","±5,627",3.5%,±0.4,"28,980","±4,213",1.6%,±0.2,"269,421","±16,033",2.1%,±0.1,"88,511","±7,360",1.3%,±0.1,"39,094","±5,569",1.2%,±0.2,"56,577","±6,419",1.9%,±0.2,"42,591","±5,488",1.0%,±0.1,"128,301","±7,771",2.8%,±0.2,"9,399","±1,724",0.7%,±0.1,"471,792","±11,042",7.8%,±0.2,"446,485","±13,419",6.5%,±0.2,"92,770","±7,892",0.9%,±0.1,"83,418","±7,066",1.5%,±0.1,"22,814","±4,085",0.8%,±0.1,"63,817","±6,555",1.0%,±0.1,"7,539","±1,675",0.7%,±0.2,"47,571","±6,514",2.5%,±0.3,"156,322","±13,893",5.1%,±0.5,"25,230","±3,374",1.9%,±0.2,"1,089,047","±19,987",12.3%,±0.2,"344,620","±16,257",16.4%,±0.8,"2,111,627","±28,065",10.9%,±0.1,"334,301","±13,657",3.2%,±0.1,"6,886","±2,401",0.9%,±0.3,"117,568","±8,012",1.0%,±0.1,"64,436","±6,479",1.6%,±0.2,"87,700","±10,369",2.1%,±0.2,"318,118","±20,528",2.5%,±0.2,"106,685","±7,790",10.1%,±0.7,"98,089","±9,817",1.9%,±0.2,"9,860","±2,093",1.1%,±0.2,"116,634","±11,513",1.7%,±0.2,"1,516,231","±44,411",5.2%,±0.2,"109,256","±10,611",3.4%,±0.3,"4,221","±1,047",0.7%,±0.2,"505,521","±13,585",5.9%,±0.2,"151,713","±10,320",2.0%,±0.1,"11,051","±1,739",0.6%,±0.1,"52,772","±5,783",0.9%,±0.1,"13,449","±2,700",2.3%,±0.5,"75,085","±6,117",2.4%,±0.2
Not Hispanic or Latino,"4,683,889","±3,767",95.5%,±0.1,"678,997",±110,92.8%,±0.1,"4,968,125",*****,68.3%,*****,"2,785,853","±2,662",92.3%,±0.1,"23,937,341",*****,60.6%,*****,"4,501,833",*****,78.2%,*****,"2,964,333",*****,83.1%,*****,"880,374",*****,90.4%,*****,"626,272",*****,88.7%,*****,"15,814,108",±637,73.6%,±0.1,"9,574,781","±2,521",90.2%,±0.1,"1,265,008",*****,89.3%,*****,"1,557,571",*****,87.2%,*****,"10,455,521","±1,918",82.5%,±0.1,"6,246,665","±2,545",92.8%,±0.1,"2,957,588","±1,387",93.7%,±0.1,"2,558,510",±943,87.8%,±0.1,"4,299,656","±2,389",96.2%,±0.1,"4,398,591","±2,584",94.6%,±0.1,"1,321,145",±858,98.3%,±0.1,"5,402,509",±318,89.4%,±0.1,"6,038,768","±1,296",87.6%,±0.1,"9,460,884",±553,94.7%,±0.1,"5,325,415",±455,94.4%,±0.1,"2,886,006","±2,964",97.0%,±0.1,"5,873,094","±2,352",95.7%,±0.1,"1,028,450","±1,552",96.2%,±0.1,"1,714,936",±401,88.7%,±0.1,"2,179,557",*****,70.8%,*****,"1,305,529",±827,96.0%,±0.1,"7,025,345",*****,79.1%,*****,"1,063,879",*****,50.7%,*****,"15,704,304",±971,80.7%,±0.1,"9,465,089",±657,90.2%,±0.1,"731,576","±1,447",96.0%,±0.2,"11,221,511","±1,953",96.0%,±0.1,"3,518,865",*****,88.9%,*****,"3,650,898",*****,86.6%,*****,"11,804,159","±1,420",92.2%,±0.1,"886,718",*****,83.7%,*****,"4,850,236","±2,584",94.2%,±0.1,"851,641","±1,554",96.3%,±0.2,"6,440,047","±2,327",94.3%,±0.1,"17,471,039","±1,400",60.3%,±0.1,"2,743,904",*****,85.6%,*****,"611,581",±464,98.0%,±0.1,"7,707,365","±3,259",90.3%,±0.1,"6,623,170",*****,87.0%,*****,"1,765,324","±2,111",98.5%,±0.1,"5,409,665","±1,103",92.9%,±0.1,"520,152",*****,89.9%,*****,"58,935","±5,525",1.8%,±0.2
White alone,"3,192,955","±2,602",65.1%,±0.1,"437,714","±2,139",59.8%,±0.3,"3,929,213","±3,028",54.0%,±0.1,"2,171,931","±1,252",72.0%,±0.1,"14,356,081","±6,353",36.3%,±0.1,"3,888,129","±3,178",67.5%,±0.1,"2,339,665","±3,330",65.6%,±0.1,"597,001","±2,089",61.3%,±0.2,"263,153",±609,37.3%,±0.1,"11,378,457","±9,637",53.0%,±0.1,"5,502,156","±5,689",51.8%,±0.1,"305,020",±686,21.5%,±0.1,"1,458,027","±1,687",81.6%,±0.1,"7,690,980","±4,146",60.7%,±0.1,"5,272,268","±3,638",78.3%,±0.1,"2,684,701","±2,572",85.1%,±0.1,"2,196,485","±1,093",75.4%,±0.1,"3,762,699","±1,852",84.2%,±0.1,"2,707,712","±2,975",58.2%,±0.1,"1,247,719","±1,022",92.8%,±0.1,"3,011,980","±3,280",49.8%,±0.1,"4,846,166","±9,001",70.3%,±0.1,"7,457,021","±2,076",74.7%,±0.1,"4,451,938","±2,703",78.9%,±0.1,"1,675,524","±1,308",56.3%,±0.1,"4,854,400","±2,553",79.1%,±0.1,"916,551",±908,85.8%,±0.1,"1,515,756","±1,175",78.4%,±0.1,"1,473,587","±3,292",47.8%,±0.1,"1,219,067",±950,89.7%,±0.1,"4,824,866","±4,867",54.3%,±0.1,"770,678","±1,278",36.8%,±0.1,"10,710,524","±7,296",55.1%,±0.1,"6,552,128","±3,780",62.5%,±0.1,"637,376",±946,83.6%,±0.1,"9,157,673","±4,437",78.3%,±0.1,"2,567,995","±1,323",64.9%,±0.1,"3,158,958","±1,766",74.9%,±0.1,"9,680,558","±3,317",75.6%,±0.1,"750,077","±2,160",70.8%,±0.2,"3,271,797","±1,873",63.5%,±0.1,"721,020",±382,81.5%,±0.1,"5,006,712","±3,370",73.3%,±0.1,"11,929,568","±5,805",41.1%,±0.1,"2,490,644","±2,113",77.7%,±0.1,"576,892",±443,92.5%,±0.1,"5,212,705","±3,017",61.1%,±0.1,"5,126,694","±3,311",67.3%,±0.1,"1,649,468","±2,332",92.0%,±0.1,"4,704,609","±2,732",80.8%,±0.1,"484,403",±479,83.7%,±0.1,"42,606","±5,253",1.3%,±0.2
Black or African American alone,"1,312,821","±7,594",26.8%,±0.2,"21,773","±1,790",3.0%,±0.2,"319,045","±6,230",4.4%,±0.1,"464,996","±5,949",15.4%,±0.2,"2,171,989","±16,630",5.5%,±0.1,"227,812","±6,128",4.0%,±0.1,"360,830","±6,223",10.1%,±0.2,"213,819","±3,081",22.0%,±0.3,"311,575","±2,811",44.1%,±0.4,"3,272,904","±17,131",15.2%,±0.1,"3,348,754","±14,746",31.5%,±0.1,"25,195","±1,655",1.8%,±0.1,"12,349","±2,189",0.7%,±0.1,"1,759,293","±11,343",13.9%,±0.1,"632,503","±8,695",9.4%,±0.1,"125,861","±4,524",4.0%,±0.1,"161,482","±4,497",5.5%,±0.2,"357,789","±7,492",8.0%,±0.2,"1,494,358","±8,566",32.1%,±0.2,"20,542","±2,579",1.5%,±0.2,"1,798,416","±8,580",29.7%,±0.1,"489,592","±7,193",7.1%,±0.1,"1,350,329","±9,852",13.5%,±0.1,"362,789","±7,695",6.4%,±0.1,"1,125,175","±7,324",37.8%,±0.2,"697,316","±8,470",11.4%,±0.1,"6,167","±1,597",0.6%,±0.1,"92,057","±3,320",4.8%,±0.2,"285,369","±4,808",9.3%,±0.2,"19,469","±1,724",1.4%,±0.1,"1,124,643","±8,662",12.7%,±0.1,"39,742","±2,385",1.9%,±0.1,"2,763,709","±11,094",14.2%,±0.1,"2,214,270","±13,920",21.1%,±0.1,"21,758","±2,464",2.9%,±0.3,"1,445,171","±12,748",12.4%,±0.1,"281,284","±5,633",7.1%,±0.1,"75,363","±5,491",1.8%,±0.1,"1,374,488","±10,141",10.7%,±0.1,"61,201","±3,284",5.8%,±0.3,"1,354,547","±8,231",26.3%,±0.2,"20,313","±2,140",2.3%,±0.2,"1,132,469","±7,887",16.6%,±0.1,"3,442,881","±17,722",11.9%,±0.1,"34,368","±2,551",1.1%,±0.1,"8,127",±893,1.3%,±0.1,"1,625,942","±11,662",19.0%,±0.1,"295,239","±6,592",3.9%,±0.1,"64,996","±3,409",3.6%,±0.2,"366,735","±5,641",6.3%,±0.1,"6,425","±1,755",1.1%,±0.3,"3,388","±1,091",0.1%,±0.1
American Indian and Alaska Native alone,"19,364","±2,743",0.4%,±0.1,"113,467","±3,892",15.5%,±0.5,"289,161","±4,369",4.0%,±0.1,"16,216","±2,371",0.5%,±0.1,"149,063","±5,527",0.4%,±0.1,"31,851","±3,149",0.6%,±0.1,"5,738","±1,377",0.2%,±0.1,"3,195",±657,0.3%,±0.1,"1,668",±355,0.2%,±0.1,"42,758","±4,308",0.2%,±0.1,"19,850","±3,011",0.2%,±0.1,"3,133",±693,0.2%,±0.1,"18,354","±2,093",1.0%,±0.1,"12,938","±2,321",0.1%,±0.1,"11,852","±1,903",0.2%,±0.1,"9,771","±1,460",0.3%,±0.1,"19,238","±2,482",0.7%,±0.1,"6,894","±1,887",0.2%,±0.1,"24,272","±2,938",0.5%,±0.1,"8,949","±1,276",0.7%,±0.1,"14,884","±1,778",0.2%,±0.1,"13,013","±1,891",0.2%,±0.1,"52,365","±2,940",0.5%,±0.1,"51,930","±2,707",0.9%,±0.1,"13,037","±1,783",0.4%,±0.1,"23,140","±3,218",0.4%,±0.1,"64,628","±2,989",6.0%,±0.3,"14,464","±1,481",0.7%,±0.1,"27,771","±2,104",0.9%,±0.1,"1,524",±669,0.1%,±0.1,"9,261","±1,852",0.1%,±0.1,"181,772","±3,713",8.7%,±0.2,"42,268","±3,287",0.2%,±0.1,"113,771","±3,323",1.1%,±0.1,"38,164","±1,861",5.0%,±0.2,"16,111","±2,444",0.1%,±0.1,"303,050","±6,048",7.7%,±0.2,"40,821","±3,945",1.0%,±0.1,"17,150","±2,171",0.1%,±0.1,"2,291",±747,0.2%,±0.1,"15,810","±1,774",0.3%,±0.1,"73,878","±2,904",8.4%,±0.3,"17,899","±2,835",0.3%,±0.1,"77,748","±5,217",0.3%,±0.1,"30,210","±2,828",0.9%,±0.1,"2,435",±770,0.4%,±0.1,"17,497","±2,366",0.2%,±0.1,"86,811","±4,960",1.1%,±0.1,"3,529","±1,400",0.2%,±0.1,"49,093","±2,631",0.8%,±0.1,"12,291","±1,352",2.1%,±0.2,459,±573,0.0%,±0.1
Asian alone,"65,215","±2,368",1.3%,±0.1,"43,322","±2,462",5.9%,±0.3,"235,202","±5,508",3.2%,±0.1,"45,839","±3,582",1.5%,±0.1,"5,786,711","±19,627",14.6%,±0.1,"183,793","±4,984",3.2%,±0.1,"165,523","±3,653",4.6%,±0.1,"36,366","±1,976",3.7%,±0.2,"28,346","±1,379",4.0%,±0.2,"587,358","±8,152",2.7%,±0.1,"435,875","±6,973",4.1%,±0.1,"539,409","±10,912",38.1%,±0.8,"24,186","±3,030",1.4%,±0.2,"710,119","±5,872",5.6%,±0.1,"169,824","±5,342",2.5%,±0.1,"75,672","±3,122",2.4%,±0.1,"85,643","±2,670",2.9%,±0.1,"72,276","±3,499",1.6%,±0.1,"81,016","±4,379",1.7%,±0.1,"15,094","±1,457",1.1%,±0.1,"383,867","±4,780",6.3%,±0.1,"470,127","±5,464",6.8%,±0.1,"325,616","±4,480",3.3%,±0.1,"283,422","±4,410",5.0%,±0.1,"30,836","±3,491",1.0%,±0.1,"126,278","±4,249",2.1%,±0.1,"8,675","±1,275",0.8%,±0.1,"47,389","±2,141",2.4%,±0.1,"256,708","±5,363",8.3%,±0.2,"35,761","±2,392",2.6%,±0.2,"849,020","±7,081",9.6%,±0.1,"33,694","±2,134",1.6%,±0.1,"1,669,362","±9,566",8.6%,±0.1,"307,366","±6,872",2.9%,±0.1,"10,630","±2,351",1.4%,±0.3,"273,219","±5,634",2.3%,±0.1,"88,647","±3,098",2.2%,±0.1,"191,850","±4,626",4.5%,±0.1,"450,916","±6,746",3.5%,±0.1,"36,215","±2,589",3.4%,±0.2,"86,100","±3,031",1.7%,±0.1,"11,530","±2,434",1.3%,±0.3,"124,108","±3,982",1.8%,±0.1,"1,430,236","±10,913",4.9%,±0.1,"75,560","±4,114",2.4%,±0.1,"8,470","±2,546",1.4%,±0.4,"560,030","±6,330",6.6%,±0.1,"680,421","±8,623",8.9%,±0.1,"14,085","±1,676",0.8%,±0.1,"166,443","±4,474",2.9%,±0.1,"4,544","±1,372",0.8%,±0.2,"2,650","±1,617",0.1%,±0.1
Native Hawaiian and Other Pacific Islander alone,"1,520",±690,0.0%,±0.1,"9,715",±795,1.3%,±0.1,"13,361","±1,436",0.2%,±0.1,"12,673","±1,777",0.4%,±0.1,"141,846","±4,748",0.4%,±0.1,"6,727","±1,787",0.1%,±0.1,"1,155","±1,082",0.0%,±0.1,428,±499,0.0%,±0.1,90,±148,0.0%,±0.1,"13,927","±3,005",0.1%,±0.1,"5,811","±2,305",0.1%,±0.1,"140,656","±4,128",9.9%,±0.3,"2,289","±1,130",0.1%,±0.1,"2,897","±1,029",0.0%,±0.1,"2,726","±1,886",0.0%,±0.1,"1,406",±553,0.0%,±0.1,"2,092","±1,312",0.1%,±0.1,"3,903","±1,767",0.1%,±0.1,938,±598,0.0%,±0.1,222,±183,0.0%,±0.1,"2,297",±983,0.0%,±0.1,"2,473",±608,0.0%,±0.1,"1,900",±647,0.0%,±0.1,"2,618",±889,0.0%,±0.1,175,±259,0.0%,±0.1,"8,469","±2,558",0.1%,±0.1,224,±253,0.0%,±0.1,"1,733",±851,0.1%,±0.1,"20,153","±1,584",0.7%,±0.1,667,±523,0.0%,±0.1,"2,714","±1,365",0.0%,±0.1,629,±427,0.0%,±0.1,"3,725","±1,128",0.0%,±0.1,"5,003","±1,374",0.0%,±0.1,"2,792","±1,647",0.4%,±0.2,"4,296","±1,667",0.0%,±0.1,"3,543",±807,0.1%,±0.1,"13,164","±2,206",0.3%,±0.1,"2,595",±685,0.0%,±0.1,250,±212,0.0%,±0.1,"7,376","±5,441",0.1%,±0.1,"2,073","±1,557",0.2%,±0.2,"3,374","±1,300",0.0%,±0.1,"21,484","±2,471",0.1%,±0.1,"29,108","±2,676",0.9%,±0.1,336,±356,0.1%,±0.1,"4,347","±1,047",0.1%,±0.1,"48,667","±3,964",0.6%,±0.1,286,±365,0.0%,±0.1,"3,903","±1,637",0.1%,±0.1,717,±505,0.1%,±0.1,0,±234,0.0%,±0.1
Some other race alone,"9,623","±2,795",0.2%,±0.1,"2,096","±2,042",0.3%,±0.3,"10,110","±3,100",0.1%,±0.1,"3,094","±1,254",0.1%,±0.1,"107,538","±10,686",0.3%,±0.1,"8,905","±3,036",0.2%,±0.1,"11,912","±3,208",0.3%,±0.1,"4,046","±2,256",0.4%,±0.2,"2,427","±1,120",0.3%,±0.2,"82,214","±10,506",0.4%,±0.1,"36,739","±8,000",0.3%,±0.1,"3,631","±1,673",0.3%,±0.1,"2,487","±1,010",0.1%,±0.1,"22,113","±5,213",0.2%,±0.1,"14,484","±3,465",0.2%,±0.1,"3,158","±2,470",0.1%,±0.1,"4,072","±1,413",0.1%,±0.1,"6,168","±2,681",0.1%,±0.1,"11,477","±3,402",0.2%,±0.1,"2,502","±1,038",0.2%,±0.1,"18,960","±3,960",0.3%,±0.1,"57,348","±9,472",0.8%,±0.1,"10,364","±2,576",0.1%,±0.1,"12,703","±3,309",0.2%,±0.1,"3,794","±1,784",0.1%,±0.1,"12,046","±3,579",0.2%,±0.1,"1,358",±953,0.1%,±0.1,"1,110",±731,0.1%,±0.1,"11,965","±3,754",0.4%,±0.1,"1,433",±876,0.1%,±0.1,"47,706","±5,761",0.5%,±0.1,"3,788","±1,427",0.2%,±0.1,"107,705","±11,124",0.6%,±0.1,"21,879","±4,630",0.2%,±0.1,624,±918,0.1%,±0.1,"19,236","±4,378",0.2%,±0.1,"3,887","±1,245",0.1%,±0.1,"5,530","±1,795",0.1%,±0.1,"19,913","±3,759",0.2%,±0.1,"8,741","±3,075",0.8%,±0.3,"8,058","±2,172",0.2%,±0.1,241,±249,0.0%,±0.1,"15,077","±3,937",0.2%,±0.1,"43,532","±6,311",0.2%,±0.1,"6,713","±2,639",0.2%,±0.1,716,±477,0.1%,±0.1,"23,329","±4,303",0.3%,±0.1,"14,188","±3,407",0.2%,±0.1,"2,569","±1,398",0.1%,±0.1,"5,824","±2,886",0.1%,±0.1,137,±127,0.0%,±0.1,"6,235","±1,467",0.2%,±0.1
Two or more races,"82,391","±6,397",1.7%,±0.1,"50,910","±5,094",7.0%,±0.7,"172,033","±9,205",2.4%,±0.1,"71,104","±6,492",2.4%,±0.2,"1,224,113","±26,997",3.1%,±0.1,"154,616","±8,622",2.7%,±0.1,"79,510","±6,465",2.2%,±0.2,"25,519","±3,778",2.6%,±0.4,"19,013","±2,890",2.7%,±0.4,"436,490","±17,092",2.0%,±0.1,"225,596","±14,124",2.1%,±0.1,"247,964","±10,251",17.5%,±0.7,"39,879","±3,442",2.2%,±0.2,"257,181","±12,296",2.0%,±0.1,"143,008","±10,413",2.1%,±0.2,"57,019","±5,010",1.8%,±0.2,"89,498","±5,171",3.1%,±0.2,"89,927","±6,444",2.0%,±0.1,"78,818","±6,953",1.7%,±0.1,"26,117","±3,284",1.9%,±0.2,"172,105","±8,748",2.8%,±0.1,"160,049","±9,652",2.3%,±0.1,"263,289","±10,523",2.6%,±0.1,"160,015","±9,108",2.8%,±0.2,"37,465","±5,662",1.3%,±0.2,"151,445","±8,730",2.5%,±0.1,"30,847","±3,157",2.9%,±0.3,"42,427","±4,490",2.2%,±0.2,"104,004","±7,503",3.4%,±0.2,"27,608","±3,301",2.0%,±0.2,"167,135","±9,450",1.9%,±0.1,"33,576","±4,587",1.6%,±0.2,"407,011","±13,958",2.1%,±0.1,"250,672","±15,892",2.4%,±0.2,"20,232","±3,214",2.7%,±0.4,"305,805","±14,095",2.6%,±0.1,"270,459","±8,715",6.8%,±0.2,"165,212","±7,853",3.9%,±0.2,"258,539","±12,124",2.0%,±0.1,"27,943","±3,439",2.6%,±0.3,"106,548","±8,557",2.1%,±0.2,"22,586","±3,357",2.6%,±0.4,"140,408","±7,849",2.1%,±0.1,"525,590","±19,041",1.8%,±0.1,"77,301","±6,286",2.4%,±0.2,"14,605","±2,763",2.3%,±0.4,"263,515","±12,388",3.1%,±0.1,"371,150","±12,106",4.9%,±0.2,"30,391","±2,755",1.7%,±0.2,"113,058","±6,869",1.9%,±0.1,"11,635","±2,265",2.0%,±0.4,"3,597","±1,325",0.1%,±0.1
Two races including Some other race,"2,245",±891,0.0%,±0.1,672,±644,0.1%,±0.1,"5,109","±1,546",0.1%,±0.1,"1,212",±731,0.0%,±0.1,"52,948","±6,507",0.1%,±0.1,"6,172","±1,736",0.1%,±0.1,"5,810","±1,882",0.2%,±0.1,868,±854,0.1%,±0.1,659,±432,0.1%,±0.1,"19,850","±3,613",0.1%,±0.1,"12,286","±3,370",0.1%,±0.1,"1,867",±683,0.1%,±0.1,609,±390,0.0%,±0.1,"10,181","±2,171",0.1%,±0.1,"3,129","±1,182",0.0%,±0.1,836,±545,0.0%,±0.1,903,±515,0.0%,±0.1,"1,221",±625,0.0%,±0.1,"2,085","±1,004",0.0%,±0.1,702,±556,0.1%,±0.1,"7,627","±2,434",0.1%,±0.1,"15,664","±2,870",0.2%,±0.1,"5,974","±1,246",0.1%,±0.1,"3,704","±1,437",0.1%,±0.1,542,±361,0.0%,±0.1,"3,057","±1,002",0.0%,±0.1,873,"±1,012",0.1%,±0.1,"1,239",±762,0.1%,±0.1,"3,382","±1,509",0.1%,±0.1,504,±337,0.0%,±0.1,"17,256","±3,539",0.2%,±0.1,"1,594",±890,0.1%,±0.1,"42,729","±5,321",0.2%,±0.1,"8,009","±2,174",0.1%,±0.1,99,±85,0.0%,±0.1,"5,143","±1,520",0.0%,±0.1,"2,559",±979,0.1%,±0.1,"4,893","±1,517",0.1%,±0.1,"8,496","±2,693",0.1%,±0.1,"3,325","±1,195",0.3%,±0.1,"3,334","±1,596",0.1%,±0.1,90,±153,0.0%,±0.1,"5,332","±1,781",0.1%,±0.1,"17,138","±2,931",0.1%,±0.1,"1,487",±838,0.0%,±0.1,118,±161,0.0%,±0.1,"7,130","±1,680",0.1%,±0.1,"7,873","±2,500",0.1%,±0.1,"1,192",±667,0.1%,±0.1,"2,877","±1,481",0.0%,±0.1,238,±187,0.0%,±0.1,250,±332,0.0%,±0.1
"Two races excluding Some other race, and Three or more races","80,146","±6,381",1.6%,±0.1,"50,238","±4,990",6.9%,±0.7,"166,924","±9,138",2.3%,±0.1,"69,892","±6,278",2.3%,±0.2,"1,171,165","±26,813",3.0%,±0.1,"148,444","±8,579",2.6%,±0.1,"73,700","±6,408",2.1%,±0.2,"24,651","±3,737",2.5%,±0.4,"18,354","±2,873",2.6%,±0.4,"416,640","±16,670",1.9%,±0.1,"213,310","±13,139",2.0%,±0.1,"246,097","±10,233",17.4%,±0.7,"39,270","±3,477",2.2%,±0.2,"247,000","±11,822",1.9%,±0.1,"139,879","±10,205",2.1%,±0.2,"56,183","±4,984",1.8%,±0.2,"88,595","±5,186",3.0%,±0.2,"88,706","±6,396",2.0%,±0.1,"76,733","±6,953",1.7%,±0.1,"25,415","±3,203",1.9%,±0.2,"164,478","±8,695",2.7%,±0.1,"144,385","±9,005",2.1%,±0.1,"257,315","±10,451",2.6%,±0.1,"156,311","±8,928",2.8%,±0.2,"36,923","±5,625",1.2%,±0.2,"148,388","±8,629",2.4%,±0.1,"29,974","±3,119",2.8%,±0.3,"41,188","±4,307",2.1%,±0.2,"100,622","±7,146",3.3%,±0.2,"27,104","±3,267",2.0%,±0.2,"149,879","±8,889",1.7%,±0.1,"31,982","±4,213",1.5%,±0.2,"364,282","±13,289",1.9%,±0.1,"242,663","±15,640",2.3%,±0.1,"20,133","±3,223",2.6%,±0.4,"300,662","±13,864",2.6%,±0.1,"267,900","±8,551",6.8%,±0.2,"160,319","±7,759",3.8%,±0.2,"250,043","±11,871",2.0%,±0.1,"24,618","±3,167",2.3%,±0.3,"103,214","±8,439",2.0%,±0.2,"22,496","±3,331",2.5%,±0.4,"135,076","±7,323",2.0%,±0.1,"508,452","±18,832",1.8%,±0.1,"75,814","±6,003",2.4%,±0.2,"14,487","±2,741",2.3%,±0.4,"256,385","±12,110",3.0%,±0.1,"363,277","±11,496",4.8%,±0.2,"29,199","±2,759",1.6%,±0.2,"110,181","±6,670",1.9%,±0.1,"11,397","±2,246",2.0%,±0.4,"3,347","±1,227",0.1%,±0.1
