county,SEX AND AGE,total population,male,female,SEX AND AGE!!Total population!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!Under 5 years,SEX AND AGE!!Total population!!5 to 9 years,SEX AND AGE!!Total population!!10 to 14 years,SEX AND AGE!!Total population!!15 to 19 years,SEX AND AGE!!Total population!!20 to 24 years,SEX AND AGE!!Total population!!25 to 34 years,SEX AND AGE!!Total population!!35 to 44 years,SEX AND AGE!!Total population!!45 to 54 years,SEX AND AGE!!Total population!!55 to 59 years,SEX AND AGE!!Total population!!60 to 64 years,SEX AND AGE!!Total population!!65 to 74 years,SEX AND AGE!!Total population!!75 to 84 years,SEX AND AGE!!Total population!!85 years and over,SEX AND AGE!!Total population!!Median age (years),SEX AND AGE!!Total population!!Under 18 years,SEX AND AGE!!Total population!!16 years and over,SEX AND AGE!!Total population!!18 years and over,SEX AND AGE!!Total population!!21 years and over,SEX AND AGE!!Total population!!62 years and over,SEX AND AGE!!Total population!!65 years and over,SEX AND AGE!!Total population!!18 years and over.1,SEX AND AGE!!Total population!!18 years and over!!Male,SEX AND AGE!!Total population!!18 years and over!!Female,SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),SEX AND AGE!!Total population!!65 years and over.1,SEX AND AGE!!Total population!!65 years and over!!Male,SEX AND AGE!!Total population!!65 years and over!!Female,SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),RACE,race,RACE!!Total population!!One race,RACE!!Total population!!Two or more races,RACE!!Total population!!One race.1,RACE!!Total population!!One race!!White,RACE!!Total population!!One race!!Black or African American,RACE!!Total population!!One race!!American Indian and Alaska Native,RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,RACE!!Total population!!One race!!Asian,RACE!!Total population!!One race!!Asian!!Asian Indian,RACE!!Total population!!One race!!Asian!!Chinese,RACE!!Total population!!One race!!Asian!!Filipino,RACE!!Total population!!One race!!Asian!!Japanese,RACE!!Total population!!One race!!Asian!!Korean,RACE!!Total population!!One race!!Asian!!Vietnamese,RACE!!Total population!!One race!!Asian!!Other Asian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander,RACE!!Total population!!One race!!Some other race,RACE!!Total population!!Two or more races.1,RACE!!Total population!!Two or more races!!White and Black or African American,RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native,RACE!!Total population!!Two or more races!!White and Asian,RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native,Race alone or in combination with one or more other races,Race alone or in combination with one or more other races!!Total population,white,black or African American,American Indian and Alaska Native,Asian,Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Race alone or in combination with one or more other races!!Total population!!Some other race,HISPANIC OR LATINO AND RACE,HISPANIC OR LATINO AND RACE!!Total population,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races,HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races",Total housing units,"CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Martin County, Florida",,"159,065",49.5%,50.5%,97.9,4.1%,4.1%,5.3%,5.0%,4.5%,9.1%,9.2%,12.7%,7.6%,8.0%,15.1%,10.4%,5.0%,52.2,16.5%,85.3%,83.5%,80.5%,35.4%,30.6%,"132,790",49.1%,50.9%,96.5,"48,674",46.3%,53.7%,86.2,,"159,065",98.3%,1.7%,98.3%,88.1%,5.7%,0.6%,0.0%,0.0%,0.0%,0.0%,1.4%,0.5%,0.3%,0.2%,0.0%,0.1%,0.2%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,2.5%,1.7%,0.4%,0.2%,0.4%,0.0%,,"159,065",89.7%,6.2%,1.0%,1.8%,0.1%,3.0%,,"159,065",13.6%,4.1%,2.6%,1.4%,5.6%,86.4%,78.3%,5.3%,0.2%,1.4%,0.1%,0.2%,1.0%,0.1%,0.9%,"80,153",,"125,680",48.6%,51.4%
"Miami-Dade County, Florida",,"2,699,428",48.6%,51.4%,94.5,5.9%,5.4%,5.7%,5.8%,6.3%,14.3%,13.8%,14.7%,6.6%,5.6%,8.5%,5.2%,2.3%,39.9,20.5%,81.9%,79.5%,75.9%,19.2%,16.0%,"2,146,165",48.0%,52.0%,92.2,"430,906",41.6%,58.4%,71.3,,"2,699,428",98.3%,1.7%,98.3%,75.1%,17.4%,0.2%,0.0%,0.0%,0.0%,0.0%,1.6%,0.4%,0.5%,0.2%,0.1%,0.1%,0.1%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,4.0%,1.7%,0.6%,0.1%,0.2%,0.0%,,"2,699,428",76.5%,18.3%,0.4%,2.0%,0.1%,4.5%,,"2,699,428",68.5%,2.3%,3.6%,36.4%,26.3%,31.5%,13.2%,15.8%,0.1%,1.5%,0.0%,0.3%,0.6%,0.1%,0.5%,"1,024,194",,"1,592,214",46.9%,53.1%
"Monroe County, Florida",,"75,798",52.1%,47.9%,108.8,4.6%,3.7%,4.4%,4.1%,4.7%,12.4%,12.2%,15.0%,8.2%,8.5%,13.8%,6.3%,2.0%,47.7,15.1%,86.7%,84.9%,82.4%,27.1%,22.1%,"64,343",52.3%,47.7%,109.6,"16,789",52.7%,47.3%,111.3,,"75,798",98.8%,1.2%,98.8%,88.0%,7.3%,0.1%,0.0%,0.0%,0.0%,0.0%,1.4%,0.2%,0.2%,0.2%,0.0%,0.1%,0.2%,0.4%,0.2%,0.0%,0.0%,0.1%,0.0%,1.7%,1.2%,0.3%,0.2%,0.3%,0.1%,,"75,798",89.1%,7.7%,0.4%,1.8%,0.3%,1.9%,,"75,798",24.3%,3.4%,2.1%,12.3%,6.6%,75.7%,66.3%,6.7%,0.1%,1.3%,0.1%,0.1%,1.1%,0.1%,1.0%,"53,518",,"57,649",52.7%,47.3%
"Nassau County, Florida",,"83,098",49.6%,50.4%,98.4,5.1%,5.3%,5.9%,5.6%,4.7%,11.3%,11.8%,13.2%,7.8%,7.9%,13.4%,6.5%,1.7%,45.3,19.9%,82.6%,80.1%,77.2%,26.5%,21.5%,"66,539",48.8%,51.2%,95.2,"17,884",47.5%,52.5%,90.4,,"83,098",98.8%,1.2%,98.8%,90.3%,6.1%,0.5%,0.0%,0.0%,0.0%,0.0%,1.0%,0.2%,0.2%,0.4%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.9%,1.2%,0.5%,0.3%,0.3%,0.0%,,"83,098",91.5%,6.6%,0.8%,1.4%,0.0%,1.0%,,"83,098",4.3%,1.7%,1.2%,0.4%,1.1%,95.7%,87.1%,6.0%,0.5%,1.0%,0.0%,0.0%,1.1%,0.0%,1.1%,"38,975",,"65,264",48.8%,51.2%
"Okaloosa County, Florida",,"203,794",50.7%,49.3%,103.0,6.6%,6.0%,6.2%,5.4%,7.1%,16.0%,12.0%,11.9%,7.1%,6.1%,9.2%,4.9%,1.7%,36.9,22.2%,80.1%,77.8%,74.5%,19.1%,15.7%,"158,543",50.6%,49.4%,102.5,"32,045",45.5%,54.5%,83.4,,"203,794",95.0%,5.0%,95.0%,78.2%,9.8%,0.4%,0.1%,0.0%,0.0%,0.0%,3.0%,0.2%,0.4%,1.1%,0.3%,0.4%,0.2%,0.6%,0.1%,0.0%,0.0%,0.0%,0.0%,3.4%,5.0%,1.3%,0.9%,1.3%,0.1%,,"203,794",82.6%,11.7%,1.6%,5.0%,0.6%,3.9%,,"203,794",9.3%,2.9%,2.6%,0.4%,3.3%,90.7%,73.6%,9.5%,0.2%,3.0%,0.1%,0.2%,4.2%,0.0%,4.2%,"97,058",,"152,888",50.9%,49.1%
"Okeechobee County, Florida",,"41,144",54.0%,46.0%,117.2,6.0%,5.9%,5.8%,6.2%,5.7%,12.5%,12.0%,13.3%,6.6%,6.2%,10.4%,6.8%,2.5%,41.1,21.6%,81.3%,78.4%,74.8%,23.1%,19.8%,"32,262",53.9%,46.1%,117.0,"8,135",49.1%,50.9%,96.5,,"41,144",98.0%,2.0%,98.0%,85.4%,8.3%,0.5%,0.0%,0.0%,0.0%,0.0%,1.0%,0.0%,0.0%,0.6%,0.0%,0.0%,0.0%,0.3%,0.3%,0.1%,0.2%,0.1%,0.0%,2.6%,2.0%,0.6%,0.7%,0.1%,0.2%,,"41,144",87.0%,9.4%,1.5%,1.2%,0.3%,2.7%,,"41,144",25.5%,19.6%,1.4%,2.1%,2.5%,74.5%,63.2%,7.7%,0.5%,1.0%,0.3%,0.0%,1.9%,0.0%,1.9%,"18,679",,"29,171",53.5%,46.5%
"Orange County, Florida",,"1,349,746",49.0%,51.0%,96.3,6.1%,6.1%,6.3%,6.6%,7.8%,16.8%,14.2%,13.2%,6.0%,5.1%,7.0%,3.3%,1.3%,35.1,22.4%,80.1%,77.6%,73.2%,14.6%,11.6%,"1,048,026",48.5%,51.5%,94.1,"157,152",43.7%,56.3%,77.6,,"1,349,746",96.4%,3.6%,96.4%,63.6%,20.9%,0.2%,0.0%,0.0%,0.0%,0.0%,5.2%,1.6%,0.9%,0.8%,0.1%,0.3%,1.0%,0.5%,0.1%,0.0%,0.0%,0.0%,0.0%,6.4%,3.6%,1.1%,0.3%,0.7%,0.1%,,"1,349,746",66.4%,22.8%,0.8%,6.4%,0.3%,7.3%,,"1,349,746",31.6%,3.2%,14.8%,2.9%,10.8%,68.4%,40.0%,19.8%,0.1%,5.1%,0.1%,0.9%,2.4%,0.2%,2.2%,"535,981",,"922,714",48.6%,51.4%
"Osceola County, Florida",,"351,955",49.3%,50.7%,97.3,6.4%,6.6%,7.3%,7.1%,6.8%,14.4%,14.5%,13.3%,5.6%,5.3%,7.9%,3.8%,1.3%,35.9,24.6%,78.5%,75.4%,71.6%,16.0%,13.0%,"265,287",48.6%,51.4%,94.7,"45,618",44.7%,55.3%,80.9,,"351,955",96.1%,3.9%,96.1%,72.8%,11.5%,0.4%,0.1%,0.0%,0.0%,0.0%,2.7%,1.0%,0.4%,0.7%,0.1%,0.0%,0.3%,0.4%,0.1%,0.0%,0.0%,0.0%,0.1%,8.6%,3.9%,1.6%,0.2%,0.2%,0.1%,,"351,955",76.0%,13.7%,1.1%,3.3%,0.3%,9.8%,,"351,955",54.1%,2.7%,32.2%,2.5%,16.7%,45.9%,31.7%,9.3%,0.2%,2.6%,0.1%,0.5%,1.5%,0.1%,1.4%,"149,427",,"234,010",48.6%,51.4%
"Palm Beach County, Florida",,"1,465,027",48.5%,51.5%,94.1,5.1%,5.3%,5.4%,5.6%,5.4%,11.9%,11.5%,13.0%,6.7%,6.4%,11.5%,8.1%,4.0%,44.8,19.2%,83.0%,80.8%,77.5%,27.3%,23.6%,"1,183,252",47.9%,52.1%,91.9,"346,044",44.2%,55.8%,79.3,,"1,465,027",97.7%,2.3%,97.7%,73.5%,18.7%,0.2%,0.0%,0.0%,0.0%,0.0%,2.7%,0.8%,0.6%,0.4%,0.1%,0.1%,0.4%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,2.6%,2.3%,0.7%,0.3%,0.4%,0.0%,,"1,465,027",75.4%,19.8%,0.6%,3.4%,0.2%,3.1%,,"1,465,027",22.4%,3.8%,3.3%,4.0%,11.2%,77.6%,54.6%,18.2%,0.1%,2.7%,0.0%,0.4%,1.7%,0.1%,1.5%,"686,410",,"1,027,169",47.2%,52.8%
"Pasco County, Florida",,"524,602",48.7%,51.3%,94.8,5.2%,5.6%,5.9%,5.7%,5.0%,11.1%,12.1%,13.4%,6.9%,6.5%,12.4%,7.6%,2.5%,44.5,20.4%,82.1%,79.6%,76.5%,26.5%,22.5%,"417,804",48.0%,52.0%,92.4,"118,202",45.8%,54.2%,84.4,,"524,602",97.3%,2.7%,97.3%,86.9%,5.8%,0.4%,0.1%,0.0%,0.0%,0.0%,2.6%,0.8%,0.5%,0.5%,0.0%,0.2%,0.3%,0.3%,0.1%,0.0%,0.0%,0.0%,0.0%,1.6%,2.7%,1.0%,0.4%,0.5%,0.0%,,"524,602",89.4%,7.0%,0.9%,3.3%,0.2%,2.1%,,"524,602",15.2%,2.8%,6.2%,2.0%,4.2%,84.8%,74.6%,5.4%,0.3%,2.5%,0.1%,0.2%,1.8%,0.1%,1.7%,"243,451",,"397,915",48.1%,51.9%
"Pinellas County, Florida",,"964,666",48.0%,52.0%,92.4,4.4%,4.5%,4.6%,4.7%,5.0%,12.0%,11.0%,13.7%,8.0%,7.9%,13.0%,7.6%,3.7%,48.1,16.4%,85.5%,83.6%,80.9%,29.0%,24.3%,"806,403",47.4%,52.6%,90.2,"234,815",44.5%,55.5%,80.1,,"964,666",96.9%,3.1%,96.9%,81.5%,10.3%,0.3%,0.0%,0.0%,0.0%,0.0%,3.4%,0.7%,0.4%,0.6%,0.1%,0.2%,0.8%,0.6%,0.1%,0.0%,0.0%,0.0%,0.0%,1.4%,3.1%,1.3%,0.4%,0.6%,0.1%,,"964,666",84.3%,12.0%,0.8%,4.3%,0.2%,1.8%,,"964,666",9.7%,2.2%,2.9%,1.4%,3.2%,90.3%,74.0%,9.9%,0.2%,3.3%,0.1%,0.3%,2.4%,0.1%,2.3%,"509,132",,"762,406",47.3%,52.7%
"Polk County, Florida",,"686,218",49.0%,51.0%,96.1,5.8%,6.0%,6.5%,6.3%,6.1%,12.9%,11.8%,12.1%,6.2%,6.1%,11.4%,6.7%,2.1%,40.2,22.3%,80.2%,77.7%,73.8%,23.7%,20.2%,"533,359",48.4%,51.6%,93.7,"138,341",45.9%,54.1%,84.9,,"686,218",97.5%,2.5%,97.5%,77.1%,15.3%,0.3%,0.1%,0.0%,0.0%,0.0%,1.8%,0.5%,0.3%,0.4%,0.0%,0.1%,0.2%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,3.0%,2.5%,1.1%,0.3%,0.3%,0.1%,,"686,218",79.3%,16.7%,0.9%,2.2%,0.1%,3.5%,,"686,218",22.5%,7.5%,9.3%,1.6%,4.0%,77.5%,58.9%,14.7%,0.3%,1.7%,0.0%,0.3%,1.5%,0.1%,1.5%,"295,456",,"499,745",48.1%,51.9%
"Putnam County, Florida",,"73,252",49.5%,50.5%,98.0,5.7%,5.6%,6.5%,5.5%,5.4%,11.0%,10.3%,12.0%,8.1%,7.3%,13.3%,7.4%,2.0%,45.1,21.4%,80.8%,78.6%,75.8%,27.2%,22.7%,"57,542",48.9%,51.1%,95.8,"16,634",48.0%,52.0%,92.5,,"73,252",98.1%,1.9%,98.1%,80.3%,16.3%,0.4%,0.0%,0.0%,0.0%,0.1%,0.6%,0.0%,0.2%,0.1%,0.0%,0.1%,0.1%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.5%,1.9%,0.9%,0.5%,0.1%,0.0%,,"73,252",82.0%,17.3%,1.0%,0.9%,0.1%,0.7%,,"73,252",10.0%,5.1%,3.4%,0.5%,1.0%,90.0%,71.5%,16.0%,0.4%,0.6%,0.0%,0.0%,1.5%,0.0%,1.5%,"37,415",,"55,744",48.7%,51.3%
"St. Johns County, Florida",,"244,674",48.7%,51.3%,94.8,5.0%,6.0%,6.7%,6.4%,4.9%,9.7%,12.8%,14.3%,7.6%,6.7%,12.1%,5.6%,2.1%,43.7,21.8%,80.8%,78.2%,74.7%,23.6%,19.7%,"191,259",48.1%,51.9%,92.7,"48,237",46.4%,53.6%,86.6,,"244,674",97.6%,2.4%,97.6%,88.4%,5.4%,0.4%,0.1%,0.0%,0.0%,0.1%,2.7%,0.9%,0.5%,0.6%,0.0%,0.2%,0.1%,0.4%,0.1%,0.0%,0.0%,0.0%,0.0%,0.6%,2.4%,0.6%,0.3%,0.7%,0.0%,,"244,674",90.5%,6.3%,1.0%,3.9%,0.3%,0.9%,,"244,674",7.0%,1.2%,2.4%,1.0%,2.3%,93.0%,82.6%,5.2%,0.3%,2.6%,0.1%,0.2%,2.0%,0.1%,1.9%,"107,258",,"185,976",48.1%,51.9%
"St. Lucie County, Florida",,"312,947",48.8%,51.2%,95.3,5.2%,5.2%,6.1%,5.6%,5.3%,11.3%,11.1%,12.5%,7.3%,6.6%,13.0%,8.0%,2.8%,45.1,20.0%,82.4%,80.0%,76.7%,27.7%,23.8%,"250,263",48.1%,51.9%,92.8,"74,360",46.6%,53.4%,87.2,,"312,947",97.6%,2.4%,97.6%,73.1%,20.2%,0.4%,0.1%,0.0%,0.0%,0.0%,2.0%,0.4%,0.3%,0.4%,0.0%,0.1%,0.3%,0.5%,0.1%,0.0%,0.0%,0.0%,0.1%,1.9%,2.4%,1.1%,0.2%,0.2%,0.1%,,"312,947",74.8%,21.8%,0.8%,2.6%,0.1%,2.4%,,"312,947",19.0%,5.3%,5.3%,2.2%,6.2%,81.0%,57.3%,19.3%,0.3%,2.0%,0.1%,0.2%,1.8%,0.1%,1.7%,"141,628",,"229,673",48.3%,51.7%
"Santa Rosa County, Florida",,"174,755",51.1%,48.9%,104.5,5.7%,5.7%,6.7%,6.2%,5.8%,13.4%,13.1%,14.1%,7.1%,6.4%,9.6%,4.8%,1.4%,39.9,22.1%,80.4%,77.9%,74.7%,19.4%,15.8%,"136,155",51.0%,49.0%,104.1,"27,609",46.1%,53.9%,85.6,,"174,755",95.9%,4.1%,95.9%,85.4%,6.2%,0.5%,0.1%,0.0%,0.0%,0.0%,2.0%,0.1%,0.1%,0.8%,0.1%,0.1%,0.5%,0.2%,0.3%,0.1%,0.2%,0.0%,0.0%,1.5%,4.1%,0.9%,1.2%,1.0%,0.1%,,"174,755",89.2%,7.5%,2.1%,3.3%,0.4%,1.9%,,"174,755",5.6%,1.9%,1.3%,0.5%,2.0%,94.4%,82.4%,6.1%,0.4%,1.9%,0.2%,0.2%,3.3%,0.0%,3.3%,"71,649",,"133,086",51.2%,48.8%
"Sarasota County, Florida",,"419,496",47.7%,52.3%,91.2,3.6%,3.9%,4.2%,4.3%,4.1%,8.4%,8.5%,11.5%,7.2%,8.3%,18.3%,12.3%,5.5%,56.1,14.4%,87.4%,85.6%,83.1%,41.2%,36.0%,"359,114",47.1%,52.9%,88.9,"151,209",45.8%,54.2%,84.6,,"419,496",98.2%,1.8%,98.2%,90.9%,4.5%,0.2%,0.0%,0.0%,0.0%,0.0%,1.7%,0.2%,0.3%,0.3%,0.1%,0.1%,0.4%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.9%,1.8%,0.7%,0.4%,0.4%,0.0%,,"419,496",92.6%,5.4%,0.6%,2.2%,0.1%,1.0%,,"419,496",9.2%,2.8%,1.7%,1.5%,3.2%,90.8%,83.0%,4.3%,0.1%,1.7%,0.0%,0.2%,1.5%,0.0%,1.5%,"240,766",,"338,728",47.1%,52.9%
"Seminole County, Florida",,"461,402",48.3%,51.7%,93.5,5.3%,6.1%,5.9%,6.1%,6.2%,14.5%,13.7%,14.1%,6.8%,6.2%,9.0%,4.2%,2.1%,39.2,21.2%,81.4%,78.8%,75.3%,18.5%,15.2%,"363,776",47.7%,52.3%,91.2,"70,111",43.1%,56.9%,75.8,,"461,402",96.9%,3.1%,96.9%,75.8%,12.0%,0.3%,0.0%,0.0%,0.0%,0.0%,4.5%,1.7%,0.8%,0.5%,0.1%,0.4%,0.5%,0.6%,0.1%,0.0%,0.0%,0.0%,0.0%,4.3%,3.1%,1.0%,0.4%,0.6%,0.0%,,"461,402",78.5%,13.5%,0.9%,5.6%,0.2%,4.8%,,"461,402",21.4%,1.8%,10.0%,2.1%,7.5%,78.6%,60.3%,11.0%,0.2%,4.5%,0.0%,0.5%,2.2%,0.1%,2.0%,"190,156",,"341,484",47.6%,52.4%
"Sumter County, Florida",,"125,044",50.0%,50.0%,100.1,1.8%,1.7%,2.5%,2.3%,2.0%,5.5%,6.4%,6.7%,5.8%,8.7%,33.8%,18.6%,4.4%,67.4,7.3%,93.6%,92.7%,91.3%,62.7%,56.7%,"115,954",49.9%,50.1%,99.6,"70,918",48.0%,52.0%,92.4,,"125,044",98.5%,1.5%,98.5%,89.0%,7.1%,0.3%,0.1%,0.0%,0.0%,0.0%,0.9%,0.1%,0.3%,0.3%,0.1%,0.1%,0.0%,0.0%,0.1%,0.0%,0.0%,0.1%,0.0%,1.2%,1.5%,0.5%,0.3%,0.2%,0.0%,,"125,044",90.2%,7.8%,0.7%,1.1%,0.1%,1.5%,,"125,044",5.7%,2.5%,1.6%,0.7%,1.0%,94.3%,85.0%,6.8%,0.3%,0.8%,0.1%,0.1%,1.2%,0.1%,1.1%,"70,800",,"113,536",49.5%,50.5%
"Suwannee County, Florida",,"44,046",51.4%,48.6%,105.7,5.0%,6.9%,6.5%,5.2%,5.7%,10.7%,12.4%,13.2%,7.4%,6.5%,11.8%,6.7%,2.1%,43.3,21.7%,81.0%,78.3%,75.1%,24.5%,20.5%,"34,475",51.8%,48.2%,107.6,"9,036",46.5%,53.5%,86.9,,"44,046",96.9%,3.1%,96.9%,82.7%,12.9%,0.1%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,1.0%,3.1%,1.4%,0.7%,0.6%,0.0%,,"44,046",85.8%,14.4%,1.0%,0.9%,0.1%,1.2%,,"44,046",9.3%,4.3%,0.8%,1.0%,3.2%,90.7%,75.5%,12.7%,0.1%,0.1%,0.0%,0.0%,2.2%,0.0%,2.2%,"19,401",,"33,026",51.4%,48.6%
"Taylor County, Florida",,"21,870",56.0%,44.0%,127.4,4.6%,5.6%,6.5%,5.3%,4.3%,15.0%,12.9%,12.4%,6.0%,7.6%,11.8%,6.7%,1.2%,42.0,19.8%,82.8%,80.2%,77.3%,23.8%,19.7%,"17,549",56.8%,43.2%,131.5,"4,304",46.7%,53.3%,87.6,,"21,870",99.2%,0.8%,99.2%,76.3%,20.1%,0.3%,0.1%,0.0%,0.0%,0.0%,0.8%,0.4%,0.2%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.7%,0.8%,0.3%,0.1%,0.3%,0.0%,,"21,870",77.0%,20.5%,0.4%,1.1%,0.1%,1.7%,,"21,870",6.4%,2.2%,1.8%,0.9%,1.5%,93.6%,72.1%,19.9%,0.3%,0.3%,0.0%,0.5%,0.5%,0.0%,0.5%,"11,112",,"17,223",56.6%,43.4%
"Union County, Florida",,"15,303",65.2%,34.8%,187.4,5.8%,5.7%,4.4%,4.9%,5.8%,16.1%,15.3%,13.0%,7.7%,6.3%,10.1%,3.7%,1.2%,39.3,19.1%,82.9%,80.9%,78.2%,18.1%,15.0%,"12,381",68.8%,31.2%,220.5,"2,290",60.1%,39.9%,150.5,,"15,303",98.3%,1.7%,98.3%,73.6%,21.9%,0.8%,0.3%,0.0%,0.0%,0.0%,0.6%,0.0%,0.0%,0.5%,0.0%,0.0%,0.0%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,1.2%,1.7%,0.8%,0.8%,0.1%,0.1%,,"15,303",75.2%,22.9%,1.6%,0.7%,0.1%,1.2%,,"15,303",5.6%,1.4%,1.6%,1.1%,1.5%,94.4%,69.5%,21.7%,0.8%,0.6%,0.0%,0.0%,1.7%,0.0%,1.7%,"4,608",,"12,097",68.5%,31.5%
"Volusia County, Florida",,"536,487",48.7%,51.3%,95.1,4.7%,5.0%,4.9%,5.5%,5.8%,11.6%,10.5%,12.6%,7.6%,7.6%,13.5%,7.4%,3.2%,46.6,17.7%,84.4%,82.3%,78.6%,28.7%,24.2%,"441,308",48.3%,51.7%,93.4,"129,563",45.6%,54.4%,83.9,,"536,487",97.9%,2.1%,97.9%,81.4%,10.9%,0.3%,0.1%,0.0%,0.0%,0.0%,1.8%,0.5%,0.2%,0.3%,0.1%,0.1%,0.3%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,3.4%,2.1%,0.8%,0.4%,0.5%,0.0%,,"536,487",83.3%,11.9%,0.8%,2.5%,0.1%,3.7%,,"536,487",13.9%,2.6%,7.0%,1.0%,3.3%,86.1%,71.7%,10.4%,0.3%,1.7%,0.0%,0.3%,1.7%,0.0%,1.6%,"260,720",,"427,157",48.2%,51.8%
"Wakulla County, Florida",,"32,321",54.3%,45.7%,118.7,4.7%,5.9%,6.2%,6.3%,4.7%,13.0%,15.1%,15.0%,7.5%,7.1%,9.2%,4.2%,1.2%,40.6,21.2%,81.8%,78.8%,76.3%,18.3%,14.6%,"25,459",55.2%,44.8%,123.1,"4,715",47.1%,52.9%,89.1,,"32,321",99.1%,0.9%,99.1%,82.2%,15.1%,0.2%,0.1%,0.0%,0.0%,0.0%,0.5%,0.0%,0.1%,0.0%,0.2%,0.0%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,1.0%,0.9%,0.5%,0.2%,0.3%,0.0%,,"32,321",83.2%,15.5%,0.4%,0.9%,0.0%,1.0%,,"32,321",3.7%,0.7%,1.6%,0.5%,0.9%,96.3%,79.6%,15.0%,0.2%,0.5%,0.0%,0.0%,0.9%,0.0%,0.9%,"13,479",,"25,063",54.8%,45.2%
"Walton County, Florida",,"68,262",50.6%,49.4%,102.4,5.9%,4.9%,6.3%,5.1%,4.5%,12.2%,12.3%,13.6%,8.2%,7.6%,12.3%,5.4%,1.8%,44.0,20.4%,81.8%,79.6%,77.1%,24.0%,19.5%,"54,329",50.5%,49.5%,102.0,"13,310",47.9%,52.1%,91.9,,"68,262",96.1%,3.9%,96.1%,86.8%,4.6%,0.6%,0.0%,0.0%,0.0%,0.0%,1.0%,0.0%,0.0%,0.6%,0.0%,0.1%,0.1%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,3.1%,3.9%,1.3%,1.4%,0.7%,0.0%,,"68,262",90.5%,6.0%,2.0%,1.9%,0.2%,3.4%,,"68,262",6.2%,3.3%,0.8%,0.9%,1.2%,93.8%,84.3%,4.6%,0.4%,1.0%,0.0%,0.1%,3.4%,0.1%,3.3%,"51,996",,"52,632",50.8%,49.2%
