"Label (Grouping)","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income","Mean income","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"        Estimate","2,028","20.2%","20.9%","21.1%","10.8%","12.1%","10.7%","2.5%","0.7%","0.6%","0.5%","18,315","31,295","","(X)","(X)","37.1%"
"Franklin County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","11,048","6.7%","5.0%","15.8%","10.8%","18.4%","17.6%","14.2%","6.3%","3.4%","1.9%","43,514","56,907","","33.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,669","4.4%","2.9%","12.3%","11.8%","17.4%","18.1%","17.8%","8.5%","4.4%","2.5%","51,224","65,679","","(X)","34.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,566","2.2%","0.6%","9.7%","9.6%","16.1%","20.8%","22.3%","9.9%","5.9%","3.0%","63,390","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,379","12.8%","11.8%","23.8%","10.4%","21.5%","12.1%","5.9%","0.7%","0.5%","0.4%","26,515","33,449","","(X)","(X)","30.4%"
"Geneva County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","10,383","10.3%","8.4%","14.8%","9.0%","16.7%","15.2%","11.5%","11.4%","1.5%","1.1%","41,732","53,077","","38.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","6,902","5.4%","4.5%","12.0%","8.6%","19.1%","18.2%","12.6%","15.7%","2.3%","1.6%","50,660","63,758","","(X)","37.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,234","1.9%","1.8%","7.1%","8.5%","20.7%","20.0%","14.9%","20.0%","3.0%","2.0%","64,185","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,481","21.5%","16.9%","21.5%","9.1%","10.7%","8.4%","9.5%","2.2%","0.1%","0.0%","19,101","30,220","","(X)","(X)","39.3%"
"Greene County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","2,951","20.2%","17.2%","13.2%","14.0%","9.4%","12.1%","7.1%","4.1%","1.7%","0.9%","24,145","36,431","","49.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,542","11.9%","13.6%","7.1%","13.5%","11.7%","17.0%","12.6%","7.8%","3.0%","1.8%","37,500","50,896","","(X)","54.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","862","7.3%","2.7%","7.7%","9.9%","7.1%","21.5%","21.6%","13.8%","5.5%","3.1%","66,938","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,409","29.7%","21.2%","20.1%","14.6%","6.1%","6.8%","1.1%","0.0%","0.3%","0.0%","14,823","20,281","","(X)","(X)","42.6%"
"Hale County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,650","15.8%","10.7%","11.9%","12.1%","11.2%","17.3%","8.7%","7.9%","3.0%","1.5%","34,046","51,992","","52.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,611","8.4%","5.3%","10.6%","12.4%","10.4%","23.9%","10.9%","11.5%","4.6%","2.1%","54,529","64,637","","(X)","59.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,435","4.8%","2.6%","8.6%","5.8%","9.8%","28.0%","14.7%","16.1%","6.9%","2.6%","68,095","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,039","28.9%","20.9%","14.4%","13.2%","10.7%","4.9%","5.0%","1.6%","0.0%","0.3%","15,065","28,937","","(X)","(X)","40.9%"
"Henry County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,630","8.6%","6.1%","11.5%","10.6%","13.2%","19.7%","13.1%","11.3%","4.2%","1.8%","50,017","62,696","","39.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,505","6.1%","1.7%","8.2%","9.8%","13.2%","21.7%","15.2%","15.8%","5.8%","2.5%","60,684","73,559","","(X)","41.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,603","2.4%","1.3%","5.5%","8.7%","13.0%","22.4%","17.5%","18.9%","7.3%","3.1%","70,844","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,125","15.7%","15.9%","17.8%","11.6%","12.8%","16.1%","7.3%","2.2%","0.3%","0.3%","25,481","38,108","","(X)","(X)","35.8%"
"Houston County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","39,311","8.3%","6.0%","12.3%","11.0%","14.4%","17.4%","10.8%","11.7%","4.1%","4.0%","47,580","67,855","","41.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","25,747","5.5%","3.5%","9.2%","9.3%","14.0%","18.8%","13.2%","15.3%","5.7%","5.5%","60,763","81,500","","(X)","41.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","18,055","1.3%","1.4%","4.9%","7.1%","12.9%","20.8%","16.3%","20.0%","7.7%","7.5%","77,321","98,634","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","13,564","15.1%","11.2%","19.4%","14.3%","14.5%","13.7%","5.9%","4.0%","1.1%","0.9%","27,382","39,431","","(X)","(X)","39.4%"
"Jackson County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","20,695","9.4%","8.2%","12.1%","12.2%","16.1%","18.0%","10.7%","9.5%","1.9%","1.8%","41,769","54,808","","34.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","14,456","6.7%","4.3%","7.4%","13.0%","16.0%","21.3%","13.9%","12.7%","2.7%","2.1%","52,790","64,379","","(X)","34.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","11,130","5.3%","2.1%","5.7%","12.3%","16.3%","21.8%","16.3%","14.2%","3.4%","2.7%","58,514","71,167","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,239","16.9%","17.7%","22.9%","11.5%","15.4%","10.3%","2.2%","2.2%","0.0%","0.9%","20,617","31,182","","(X)","(X)","33.2%"
"Jefferson County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","261,231","8.4%","5.5%","10.1%","10.0%","12.8%","16.9%","11.6%","13.2%","5.4%","6.1%","53,901","78,812","","39.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","163,802","5.0%","3.0%","7.1%","8.4%","12.1%","17.0%","13.8%","17.3%","7.6%","8.8%","70,664","96,841","","(X)","40.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","108,239","1.1%","0.9%","3.2%","5.6%","9.9%","16.5%","16.9%","22.6%","10.7%","12.7%","93,513","122,198","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","97,429","14.7%","10.0%","15.7%","13.2%","14.1%","16.3%","7.5%","5.6%","1.3%","1.6%","32,107","46,378","","(X)","(X)","36.1%"
"Lamar County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,856","7.7%","11.4%","13.8%","13.0%","14.1%","17.5%","8.1%","10.7%","2.4%","1.2%","38,364","54,252","","35.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,895","5.3%","4.5%","7.5%","13.8%","15.4%","22.2%","11.0%","15.4%","3.6%","1.3%","52,725","67,057","","(X)","37.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,127","1.7%","2.9%","7.2%","12.2%","15.1%","23.0%","12.9%","19.2%","4.3%","1.6%","57,675","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,961","12.5%","25.0%","26.5%","11.5%","11.6%","8.0%","2.6%","1.3%","0.0%","1.0%","17,956","28,565","","(X)","(X)","30.6%"
"Lauderdale County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","38,471","7.0%","5.6%","12.6%","11.3%","15.2%","17.8%","12.7%","11.4%","3.4%","3.0%","48,094","65,763","","43.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","24,731","3.9%","1.8%","8.4%","9.1%","14.4%","20.4%","16.7%","16.3%","4.6%","4.3%","65,808","81,482","","(X)","41.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","19,249","1.5%","1.1%","4.7%","7.0%","14.8%","22.1%","19.0%","19.2%","5.5%","5.1%","74,123","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","13,740","13.5%","12.8%","21.2%","15.4%","16.2%","12.2%","4.8%","2.3%","0.9%","0.6%","26,282","35,774","","(X)","(X)","45.9%"
"Lawrence County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","12,677","9.1%","6.1%","13.3%","11.5%","15.5%","17.3%","8.8%","13.2%","3.9%","1.3%","44,886","58,315","","34.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","9,101","5.9%","3.8%","7.6%","11.7%","15.9%","19.5%","11.4%","17.3%","5.3%","1.6%","55,426","68,605","","(X)","34.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","7,040","1.7%","3.1%","6.7%","10.5%","15.4%","20.2%","12.9%","20.6%","6.8%","2.0%","64,611","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,576","17.8%","12.1%","29.2%","12.0%","12.9%","10.7%","1.8%","2.7%","0.1%","0.6%","21,382","30,400","","(X)","(X)","32.0%"
"Lee County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","60,237","12.1%","5.2%","11.1%","8.7%","11.7%","16.6%","11.6%","13.0%","5.5%","4.5%","51,463","71,547","","35.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","37,089","5.4%","2.7%","7.6%","7.0%","11.4%","17.3%","15.5%","18.5%","8.0%","6.7%","72,727","90,829","","(X)","33.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","27,246","1.2%","1.5%","3.4%","5.2%","9.9%","19.1%","17.3%","23.2%","10.6%","8.6%","87,469","106,839","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","23,148","23.9%","9.8%","17.6%","11.8%","11.5%","14.1%","5.2%","3.9%","1.1%","0.9%","24,120","39,097","","(X)","(X)","36.6%"
"Limestone County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","32,143","6.1%","4.6%","10.7%","9.9%","11.1%","17.2%","13.7%","16.0%","6.0%","4.7%","59,686","77,275","","32.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","22,692","3.5%","2.6%","7.4%","8.0%","9.4%","18.9%","16.5%","20.2%","7.8%","5.8%","75,234","90,169","","(X)","31.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","18,256","1.5%","1.4%","4.5%","6.9%","8.4%","19.2%","18.0%","23.5%","9.4%","7.2%","85,648","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","9,451","13.0%","9.7%","19.4%","14.3%","14.6%","13.6%","6.9%","5.0%","1.9%","1.6%","30,735","44,193","","(X)","(X)","31.3%"
"Lowndes County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,251","13.8%","14.4%","18.0%","9.0%","13.0%","12.0%","7.9%","8.9%","1.9%","1.1%","30,036","47,139","","36.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,741","11.4%","7.7%","15.3%","10.3%","13.1%","14.7%","10.5%","12.4%","3.0%","1.6%","41,444","56,723","","(X)","43.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,329","5.0%","1.1%","7.8%","6.8%","15.7%","19.1%","15.4%","20.0%","6.1%","2.8%","67,762","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,510","20.8%","28.7%","22.0%","7.2%","10.1%","8.7%","0.8%","1.5%","0.0%","0.3%","15,190","26,616","","(X)","(X)","21.7%"
"Macon County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","7,474","16.4%","7.3%","14.9%","12.7%","14.9%","13.3%","9.2%","6.3%","3.1%","1.8%","33,370","50,091","","60.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,279","10.9%","3.2%","11.9%","9.7%","15.9%","17.9%","13.0%","10.4%","4.1%","2.8%","48,723","63,996","","(X)","60.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,447","4.7%","1.4%","6.8%","8.2%","17.4%","19.9%","16.2%","15.1%","5.9%","4.3%","62,083","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,195","24.1%","13.7%","19.7%","16.5%","13.2%","8.4%","2.0%","1.3%","0.7%","0.4%","20,625","28,953","","(X)","(X)","58.6%"
"Madison County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","148,189","5.4%","5.0%","8.9%","8.6%","11.5%","15.8%","12.3%","16.5%","8.4%","7.5%","65,449","88,291","","28.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","95,547","3.3%","2.4%","6.3%","6.9%","9.3%","15.8%","13.2%","20.5%","11.6%","10.7%","85,537","106,689","","(X)","29.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","71,498","0.9%","1.0%","3.1%","4.3%","7.1%","15.6%","14.5%","24.8%","14.7%","14.0%","105,502","126,072","","(X)","(X)","(X)"
