"Label (Grouping)","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income (dollars)","Mean income (dollars)","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"        Estimate","2,063","19.0%","12.7%","23.6%","18.0%","8.3%","8.2%","5.6%","1.1%","1.8%","1.6%","21,416","38,935","","(X)","(X)","42.2%"
"Franklin County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","10,955","7.4%","4.5%","14.1%","13.0%","16.8%","16.3%","13.7%","7.2%","5.6%","1.5%","43,633","58,435","","32.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,449","6.1%","1.9%","11.0%","10.8%","16.7%","18.2%","15.3%","9.9%","7.8%","2.2%","54,578","68,662","","(X)","34.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,441","3.5%","0.4%","10.4%","8.0%","14.3%","18.4%","20.1%","12.7%","9.5%","2.6%","67,608","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,506","12.0%","11.2%","21.0%","17.8%","16.1%","13.1%","8.0%","0.4%","0.4%","0.0%","26,577","33,714","","(X)","(X)","25.9%"
"Geneva County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","10,303","8.6%","6.1%","15.4%","10.5%","15.6%","16.2%","11.0%","11.3%","3.0%","2.2%","43,581","57,707","","32.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","6,884","3.9%","3.0%","13.4%","10.8%","16.7%","17.5%","11.5%","15.3%","4.5%","3.3%","52,450","68,566","","(X)","32.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,444","1.4%","0.9%","9.4%","10.0%","18.7%","19.2%","12.2%","18.4%","5.7%","4.1%","59,909","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,419","18.8%","14.4%","19.9%","8.8%","12.8%","12.3%","10.1%","2.8%","0.1%","0.1%","23,129","34,494","","(X)","(X)","31.7%"
"Greene County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","2,849","14.5%","13.1%","18.6%","15.8%","7.0%","15.5%","7.3%","5.3%","2.2%","0.8%","28,826","41,076","","51.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,376","2.8%","9.5%","20.3%","12.1%","9.3%","19.0%","9.8%","11.0%","4.5%","1.6%","48,281","58,015","","(X)","58.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","851","2.4%","1.1%","14.2%","10.7%","11.8%","17.9%","15.7%","16.5%","7.3%","2.6%","59,975","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,473","26.1%","16.4%","17.1%","19.1%","4.8%","11.6%","4.9%","0.0%","0.0%","0.0%","18,068","24,905","","(X)","(X)","44.3%"
"Hale County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,133","13.8%","10.7%","14.9%","11.7%","9.4%","14.3%","11.3%","10.1%","1.7%","2.2%","32,294","52,600","","51.2%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,158","3.8%","7.5%","12.2%","13.1%","8.9%","18.5%","15.0%","15.2%","2.2%","3.6%","58,114","68,569","","(X)","55.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,196","1.7%","4.8%","10.8%","7.1%","7.5%","18.9%","21.1%","20.4%","3.2%","4.5%","73,676","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,975","29.9%","15.7%","19.1%","12.1%","10.3%","7.9%","2.9%","1.2%","0.8%","0.0%","19,205","25,298","","(X)","(X)","44.0%"
"Henry County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,404","7.3%","4.7%","13.8%","10.9%","9.3%","18.4%","12.7%","14.3%","5.3%","3.3%","55,870","71,087","","39.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,294","5.3%","2.1%","8.5%","9.7%","9.9%","18.6%","14.2%","19.5%","7.5%","4.8%","68,781","86,592","","(X)","38.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,395","1.8%","0.1%","6.8%","8.5%","9.2%","19.6%","15.8%","22.7%","9.4%","6.1%","82,978","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,110","13.5%","9.9%","24.5%","13.5%","7.5%","17.7%","9.5%","3.4%","0.2%","0.3%","26,549","37,717","","(X)","(X)","39.8%"
"Houston County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","41,095","7.5%","5.9%","11.4%","10.6%","14.4%","16.9%","11.0%","12.9%","5.1%","4.4%","50,222","72,084","","46.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","26,907","4.7%","3.4%","8.1%","8.2%","13.9%","18.3%","13.4%","17.1%","7.0%","6.0%","65,905","87,504","","(X)","46.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","18,870","1.3%","1.3%","4.4%","6.0%","12.6%","19.1%","16.0%","21.7%","9.5%","8.2%","81,970","105,921","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","14,188","13.7%","11.1%","18.9%","15.3%","15.4%","13.0%","6.0%","4.4%","1.1%","1.1%","28,700","40,482","","(X)","(X)","43.8%"
"Jackson County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","20,276","6.7%","7.7%","13.0%","12.3%","15.5%","17.1%","9.7%","12.6%","3.1%","2.4%","43,785","60,681","","35.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","13,951","4.2%","4.1%","8.4%","12.0%","16.6%","18.9%","11.8%","16.9%","4.1%","3.1%","55,696","71,438","","(X)","36.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","10,463","2.5%","2.1%","6.6%","10.2%","16.9%","19.7%","13.2%","19.4%","5.3%","4.0%","65,768","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","6,325","13.5%","16.0%","23.0%","12.7%","13.5%","13.1%","4.9%","2.2%","0.6%","0.6%","23,948","35,116","","(X)","(X)","32.3%"
"Jefferson County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","264,105","7.7%","4.7%","9.2%","9.8%","11.9%","17.4%","11.6%","13.9%","6.1%","7.6%","58,330","85,794","","41.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","162,288","4.4%","2.8%","5.8%","8.6%","10.5%","17.2%","13.0%","17.8%","8.7%","11.2%","76,043","106,382","","(X)","43.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","107,984","1.2%","0.9%","2.4%","5.1%","8.3%","16.2%","15.0%","23.0%","11.9%","15.9%","101,417","133,552","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","101,817","13.6%","8.3%","15.2%","12.5%","14.1%","17.3%","8.8%","6.7%","1.9%","1.8%","35,390","50,389","","(X)","(X)","37.0%"
"Lamar County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,351","8.8%","8.8%","11.8%","12.1%","16.9%","15.2%","8.9%","13.5%","2.9%","1.1%","43,324","55,331","","29.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,509","3.9%","1.9%","6.3%","14.2%","17.0%","18.9%","13.2%","19.0%","4.4%","1.3%","58,434","69,428","","(X)","30.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,900","1.4%","1.3%","5.9%","10.6%","18.1%","18.4%","15.3%","22.9%","4.7%","1.4%","64,787","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,842","18.1%","21.9%","23.9%","6.8%","17.0%","7.8%","0.9%","2.7%","0.1%","0.7%","17,168","28,080","","(X)","(X)","28.5%"
"Lauderdale County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","37,928","6.4%","5.0%","12.1%","11.3%","15.2%","16.3%","13.5%","12.5%","4.2%","3.5%","50,000","69,687","","45.0%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","24,365","3.9%","2.3%","6.1%","8.3%","15.7%","17.8%","17.2%","17.5%","6.1%","5.0%","68,998","86,617","","(X)","44.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","18,068","1.0%","1.7%","3.5%","6.5%","14.2%","17.9%","20.4%","21.6%","6.8%","6.5%","80,510","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","13,563","11.8%","9.9%","22.9%","17.4%","14.0%","14.2%","5.6%","2.7%","0.8%","0.7%","27,321","37,713","","(X)","(X)","44.1%"
"Lawrence County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","12,469","5.7%","4.8%","11.1%","10.4%","16.2%","21.3%","10.7%","12.2%","3.0%","4.7%","51,712","66,836","","38.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","8,791","3.3%","3.8%","6.1%","7.6%","16.3%","23.1%","14.0%","16.2%","4.1%","5.4%","65,864","77,487","","(X)","39.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","7,023","0.7%","3.4%","4.7%","6.5%","14.7%","25.1%","14.4%","19.2%","5.1%","6.2%","71,901","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,678","12.6%","7.4%","23.9%","16.9%","16.0%","15.7%","2.8%","1.8%","0.1%","2.8%","27,097","39,332","","(X)","(X)","36.7%"
"Lee County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","63,122","12.7%","5.5%","8.2%","8.3%","11.2%","14.7%","11.8%","15.5%","6.2%","5.8%","57,191","79,097","","37.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","39,293","5.5%","2.1%","5.6%","6.6%","11.0%","15.2%","14.5%","22.0%","9.0%","8.5%","80,635","101,619","","(X)","37.8%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","29,337","2.3%","0.6%","3.3%","4.4%","9.2%","15.0%","15.7%","26.8%","11.6%","11.0%","98,501","118,826","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","23,829","24.9%","11.8%","12.8%","11.3%","11.4%","13.8%","6.6%","4.6%","1.6%","1.3%","25,381","40,524","","(X)","(X)","36.7%"
"Limestone County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","37,987","4.1%","4.0%","8.7%","7.5%","11.5%","16.5%","14.7%","17.8%","8.8%","6.3%","70,736","88,207","","31.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","26,793","2.8%","1.8%","5.5%","6.7%","10.2%","15.8%","16.5%","21.1%","11.9%","7.7%","85,127","102,715","","(X)","31.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","21,296","1.2%","1.1%","2.8%","5.7%","8.2%","14.9%","18.4%","24.1%","14.7%","8.9%","95,942","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","11,194","8.0%","9.5%","17.9%","9.2%","15.6%","17.7%","10.4%","7.8%","1.3%","2.7%","39,196","50,227","","(X)","(X)","29.3%"
"Lowndes County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,878","10.5%","13.2%","17.7%","11.9%","11.2%","12.3%","9.1%","9.8%","2.2%","2.1%","31,961","52,620","","38.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,367","10.4%","3.8%","15.6%","11.9%","10.8%","13.9%","12.6%","14.5%","3.6%","3.0%","47,132","65,708","","(X)","42.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,276","3.8%","0.5%","4.4%","7.9%","8.9%","22.4%","19.7%","20.8%","6.7%","4.8%","76,096","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,511","13.1%","28.1%","20.6%","12.0%","12.2%","9.1%","2.3%","1.9%","0.0%","0.7%","16,926","30,049","","(X)","(X)","30.8%"
"Macon County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","7,136","12.9%","7.0%","11.8%","13.6%","13.6%","18.4%","8.9%","8.2%","2.6%","3.0%","39,303","56,751","","59.8%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,173","9.2%","3.2%","8.5%","11.3%","14.5%","18.6%","13.3%","12.7%","3.9%","4.8%","52,421","71,356","","(X)","58.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,368","4.0%","0.3%","5.2%","10.5%","13.1%","18.4%","14.1%","20.3%","6.5%","7.7%","72,574","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,963","18.4%","12.4%","16.5%","18.2%","12.1%","17.9%","1.9%","1.6%","0.5%","0.5%","26,273","34,902","","(X)","(X)","60.9%"
"Madison County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","156,305","4.8%","4.1%","7.8%","8.4%","11.8%","15.2%","12.4%","16.7%","9.6%","9.3%","71,153","96,356","","29.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","99,835","2.7%","2.1%","5.1%","6.5%","9.2%","14.7%","13.5%","19.7%","13.2%","13.4%","92,039","116,072","","(X)","30.5%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","74,808","0.8%","0.9%","2.3%","3.5%","6.4%","14.5%","14.1%","23.3%","16.7%","17.4%","114,735","136,520","","(X)","(X)","(X)"
