"Label (Grouping)","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income","Mean income","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"        Estimate","2,077","18.9%","16.6%","24.2%","14.3%","11.0%","8.2%","4.8%","0.9%","0.8%","0.4%","20,279","32,347","","(X)","(X)","40.5%"
"Franklin County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","11,017","8.0%","5.6%","17.0%","10.6%","16.3%","16.2%","14.0%","7.1%","3.9%","1.3%","41,174","55,229","","34.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,570","6.6%","2.3%","15.0%","10.4%","16.0%","17.4%","15.5%","9.7%","5.4%","1.8%","49,564","63,645","","(X)","36.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,406","4.3%","0.5%","12.3%","8.5%","14.5%","18.9%","20.1%","11.6%","7.2%","2.0%","63,209","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,447","11.7%","14.0%","22.9%","12.3%","17.4%","12.2%","8.4%","0.4%","0.3%","0.3%","25,836","33,522","","(X)","(X)","27.0%"
"Geneva County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","10,572","8.7%","7.9%","15.5%","9.4%","16.5%","15.1%","12.0%","10.9%","2.7%","1.4%","41,569","54,632","","35.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","7,214","4.9%","2.7%","14.7%","8.9%","18.2%","16.2%","13.5%","15.0%","3.8%","2.1%","50,579","64,775","","(X)","33.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","5,817","2.1%","1.3%","10.9%","7.5%","19.9%","18.0%","15.0%","18.0%","4.8%","2.5%","57,981","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,358","18.0%","20.1%","19.0%","8.5%","12.0%","11.7%","8.8%","1.8%","0.1%","0.0%","20,568","31,346","","(X)","(X)","38.1%"
"Greene County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","3,178","19.0%","9.7%","17.9%","16.4%","11.7%","11.4%","7.1%","4.0%","1.7%","1.1%","26,688","38,224","","46.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","1,565","8.0%","8.7%","19.2%","9.7%","14.8%","13.0%","12.7%","8.2%","3.5%","2.2%","41,372","53,339","","(X)","52.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,010","6.1%","1.2%","17.0%","6.7%","16.2%","14.0%","17.3%","12.6%","5.4%","3.4%","53,125","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,613","30.4%","10.6%","16.7%","22.6%","8.7%","9.3%","1.7%","0.0%","0.0%","0.0%","17,791","23,252","","(X)","(X)","40.8%"
"Hale County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,490","15.6%","11.7%","14.1%","11.3%","10.6%","13.8%","8.9%","10.6%","2.5%","0.9%","30,793","50,342","","50.3%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,336","6.5%","7.2%","11.1%","13.1%","10.3%","19.0%","10.9%","16.4%","4.1%","1.5%","54,792","66,555","","(X)","56.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,186","2.0%","2.2%","11.8%","5.3%","7.7%","24.1%","15.1%","23.6%","6.2%","2.1%","73,068","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,154","29.7%","18.6%","18.7%","11.4%","10.3%","4.9%","4.8%","1.7%","0.0%","0.0%","16,173","24,210","","(X)","(X)","41.4%"
"Henry County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","6,556","7.7%","6.2%","13.4%","10.5%","10.8%","19.0%","13.3%","12.6%","3.7%","2.9%","51,715","64,672","","41.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,495","5.2%","3.4%","8.8%","8.4%","11.7%","20.3%","15.6%","18.0%","4.5%","4.2%","62,757","77,620","","(X)","41.4%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","3,541","1.8%","1.3%","6.1%","7.7%","11.2%","21.3%","18.4%","21.2%","5.7%","5.3%","76,492","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,061","15.2%","12.6%","22.8%","14.5%","9.0%","16.2%","7.9%","1.5%","0.3%","0.0%","24,456","34,495","","(X)","(X)","39.9%"
"Houston County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","39,784","7.8%","6.1%","11.8%","10.7%","14.3%","16.8%","11.6%","12.3%","4.5%","4.1%","49,069","69,728","","45.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","26,249","4.5%","3.1%","8.9%","8.5%","14.0%","18.6%","14.2%","16.1%","6.3%","5.6%","64,557","84,316","","(X)","45.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","18,649","1.0%","1.4%","4.7%","6.3%","12.7%","20.1%","17.1%","20.5%","8.6%","7.6%","79,985","101,223","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","13,535","15.2%","12.4%","19.0%","15.1%","14.3%","11.9%","6.2%","3.9%","0.9%","1.1%","26,801","38,982","","(X)","(X)","43.6%"
"Jackson County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","20,367","8.2%","7.9%","12.3%","13.0%","14.7%","18.8%","9.3%","11.7%","2.0%","2.0%","42,578","57,723","","35.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","14,371","5.1%","4.8%","7.8%","13.0%","15.9%","20.7%","11.7%","15.7%","2.8%","2.6%","54,489","67,667","","(X)","36.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","10,958","3.6%","2.4%","6.1%","12.5%","16.3%","21.2%","13.6%","17.3%","3.6%","3.3%","61,245","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","5,996","16.7%","15.6%","23.1%","13.4%","11.2%","15.1%","2.4%","2.1%","0.1%","0.3%","21,744","32,200","","(X)","(X)","32.0%"
"Jefferson County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","263,801","8.4%","4.9%","9.7%","10.1%","12.7%","17.3%","11.4%","13.5%","5.4%","6.6%","55,088","81,248","","40.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","163,328","4.7%","2.6%","6.6%","8.8%","12.1%","17.3%","12.8%","17.8%","7.7%","9.7%","71,575","100,559","","(X)","42.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","109,712","1.3%","0.9%","2.7%","5.6%","9.9%","16.7%","15.3%","23.2%","10.7%","13.9%","95,845","126,342","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","100,473","15.1%","9.0%","15.5%","13.0%","13.7%","16.6%","8.2%","5.8%","1.5%","1.7%","32,339","47,664","","(X)","(X)","36.7%"
"Lamar County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","5,631","9.6%","9.8%","12.5%","11.9%","15.3%","15.7%","8.4%","13.8%","2.0%","1.0%","42,688","53,482","","30.5%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","3,617","5.1%","2.0%","7.4%","11.9%","14.6%","22.3%","11.9%","20.7%","3.1%","1.0%","57,157","67,909","","(X)","30.6%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,946","1.1%","1.4%","7.2%","10.1%","15.2%","21.2%","13.7%","25.4%","3.5%","1.2%","64,066","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","2,014","17.7%","23.9%","21.7%","11.9%","16.5%","3.8%","2.3%","1.3%","0.0%","0.9%","17,500","27,453","","(X)","(X)","30.3%"
"Lauderdale County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","38,513","6.9%","4.9%","12.8%","12.2%","14.2%","17.2%","13.1%","12.1%","3.5%","3.0%","48,428","66,737","","44.4%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","24,314","3.6%","1.8%","6.6%","9.9%","14.1%","19.7%","17.1%","17.7%","5.1%","4.4%","67,905","84,244","","(X)","43.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","18,394","1.4%","1.2%","3.8%","7.9%","13.3%","20.3%","19.6%","21.5%","5.4%","5.5%","77,084","94,491","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","14,199","13.2%","10.6%","23.8%","16.2%","14.3%","12.8%","5.6%","2.3%","0.6%","0.5%","26,216","35,583","","(X)","(X)","45.6%"
"Lawrence County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","12,551","6.9%","5.0%","13.2%","11.6%","15.1%","20.5%","9.2%","12.0%","3.8%","2.8%","47,125","61,591","","37.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","8,903","4.6%","3.6%","7.6%","9.7%","15.4%","23.2%","12.0%","16.2%","5.2%","2.6%","62,734","70,780","","(X)","36.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","7,040","1.3%","2.9%","6.3%","8.1%","15.3%","24.5%","13.0%","18.9%","6.5%","3.2%","67,947","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,648","13.8%","9.1%","27.9%","16.6%","13.2%","12.2%","2.2%","1.5%","0.2%","3.2%","24,449","36,931","","(X)","(X)","37.6%"
"Lee County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","60,731","12.6%","4.7%","10.2%","9.5%","11.1%","16.0%","11.3%","14.2%","5.5%","4.9%","52,930","74,869","","37.6%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","37,681","5.1%","2.2%","7.1%","7.4%","11.2%","16.9%","14.6%","20.2%","7.9%","7.4%","75,091","95,930","","(X)","37.1%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","28,110","2.1%","0.8%","4.0%","5.4%","9.2%","17.8%","15.7%","25.2%","10.4%","9.4%","91,661","111,909","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","23,050","25.1%","9.3%","15.8%","13.2%","10.6%","14.0%","5.4%","4.4%","1.4%","0.8%","24,868","39,138","","(X)","(X)","36.4%"
"Limestone County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","32,725","6.1%","3.7%","9.4%","8.6%","12.4%","16.5%","16.1%","15.8%","6.5%","5.0%","64,270","79,507","","30.9%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","22,926","3.1%","2.7%","6.0%","6.6%","11.2%","18.1%","18.5%","19.3%","8.7%","5.9%","77,970","92,227","","(X)","31.3%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","18,194","1.0%","1.5%","3.3%","5.6%","9.4%","18.3%","20.2%","23.0%","10.7%","7.0%","86,641","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","9,799","13.5%","6.8%","18.1%","12.7%","15.2%","12.8%","10.8%","5.9%","1.2%","2.9%","34,316","47,196","","(X)","(X)","28.9%"
"Lowndes County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","4,213","10.8%","11.9%","19.2%","8.8%","15.5%","14.2%","7.0%","8.9%","1.8%","1.8%","33,634","49,686","","38.1%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","2,763","10.3%","5.2%","17.9%","10.2%","13.9%","16.4%","8.6%","12.4%","2.8%","2.4%","42,832","57,427","","(X)","42.7%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","1,332","4.1%","0.8%","5.8%","8.6%","12.8%","26.6%","13.8%","17.3%","5.7%","4.4%","69,730","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","1,450","15.3%","26.6%","22.5%","5.8%","15.0%","10.8%","1.9%","1.4%","0.0%","0.8%","18,947","31,258","","(X)","(X)","26.1%"
"Macon County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","7,592","14.4%","6.5%","14.8%","13.8%","14.3%","14.7%","8.6%","7.6%","2.8%","2.5%","35,450","53,763","","60.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","4,447","10.4%","2.6%","11.6%","11.7%","13.9%","16.4%","12.3%","13.1%","4.0%","4.1%","49,893","69,037","","(X)","60.2%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","2,652","4.3%","1.1%","6.2%","10.5%","14.5%","16.3%","14.8%","20.1%","5.9%","6.3%","70,056","N","","(X)","(X)","(X)"
"    Nonfamily households","","","","","","","","","","","","","","","","",""
"        Estimate","3,145","20.4%","12.6%","20.0%","17.0%","14.3%","12.5%","2.1%","0.5%","0.1%","0.3%","23,002","30,334","","(X)","(X)","61.3%"
"Madison County, Alabama","","","","","","","","","","","","","","","","",""
"    Households","","","","","","","","","","","","","","","","",""
"        Estimate","151,628","5.1%","4.5%","8.5%","8.9%","11.7%","15.7%","12.0%","16.4%","9.2%","8.0%","66,887","90,951","","28.7%","(X)","(X)"
"    Families","","","","","","","","","","","","","","","","",""
"        Estimate","96,331","3.1%","2.2%","6.1%","6.9%","9.2%","15.1%","13.3%","19.9%","12.9%","11.4%","87,723","109,609","","(X)","29.9%","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","",""
"        Estimate","71,953","0.9%","0.9%","2.7%","4.0%","6.5%","15.1%","14.6%","24.0%","16.4%","14.9%","110,170","129,945","","(X)","(X)","(X)"
